X-Axis	NPA w/ oil 20x (CRR) (SG) (Sub BG)
 1.50720E+03	 2.77072E+02
 1.51061E+03	 2.67460E+02
 1.51402E+03	 2.61620E+02
 1.51743E+03	 2.79794E+02
 1.52084E+03	 2.58804E+02
 1.52424E+03	 1.99549E+02
 1.52764E+03	 1.56361E+02
 1.53105E+03	 1.32841E+02
 1.53444E+03	 9.54976E+01
 1.53784E+03	 8.38169E+01
 1.54123E+03	 9.77339E+01
 1.54463E+03	 9.35859E+01
 1.54802E+03	 7.84336E+01
 1.55140E+03	 7.53877E+01
 1.55479E+03	 7.88433E+01
 1.55817E+03	 6.19487E+01
 1.56155E+03	 6.24521E+01
 1.56493E+03	 8.67095E+01
 1.56831E+03	 1.01460E+02
 1.57168E+03	 9.12544E+01
 1.57506E+03	 8.55649E+01
 1.57843E+03	 1.00478E+02
 1.58180E+03	 1.27906E+02
 1.58516E+03	 1.29107E+02
 1.58853E+03	 1.24698E+02
 1.59189E+03	 1.15977E+02
 1.59525E+03	 8.83032E+01
 1.59861E+03	 5.97197E+01
 1.60196E+03	 5.07188E+01
 1.60531E+03	 3.49092E+01
 1.60867E+03	 5.08301E+00
 1.61202E+03	 4.39355E+00
 1.61536E+03	 3.00996E+01
 1.61871E+03	 2.47075E+01
 1.62205E+03	 1.70474E+01
 1.62539E+03	 1.40278E+01
 1.62873E+03	-8.27002E+00
 1.63207E+03	-2.62764E+01
 1.63540E+03	-1.01719E+01
 1.63873E+03	 1.02036E+01
 1.64206E+03	 6.66797E+00
 1.64539E+03	-9.13037E+00
 1.64872E+03	-8.52783E+00
 1.65204E+03	 4.20117E+00
 1.65536E+03	 2.15659E+01
 1.65868E+03	 2.24214E+01
 1.66200E+03	 6.70166E+00
 1.66532E+03	-8.06689E+00
 1.66863E+03	-1.53149E+01
 1.67194E+03	-6.28760E+00
 1.67525E+03	 2.05586E+01
 1.67856E+03	 2.64683E+01
 1.68186E+03	 6.81738E+00
 1.68516E+03	-8.15723E+00
 1.68847E+03	-1.48726E+01
 1.69176E+03	-8.29395E+00
 1.69506E+03	 1.69385E+00
 1.69836E+03	 1.36133E+01
 1.70165E+03	 7.01855E+00
 1.70494E+03	-8.56250E+00
 1.70823E+03	-1.46963E+01
 1.71151E+03	-1.17471E+01
 1.71480E+03	-1.38555E+01
 1.71808E+03	-3.31396E+00
 1.72136E+03	 3.89160E-01
 1.72464E+03	 5.97070E+00
 1.72792E+03	 1.08496E+00
 1.73119E+03	 3.09570E+00
 1.73446E+03	 8.14551E+00
 1.73773E+03	 1.04526E+01
 1.74100E+03	 6.40381E+00
 1.74427E+03	-8.28809E+00
 1.74753E+03	-1.92095E+01
 1.75079E+03	-1.24473E+01
 1.75405E+03	-1.35742E-01
 1.75731E+03	 1.86807E+01
 1.76057E+03	 2.38433E+01
 1.76382E+03	 2.17939E+01
 1.76707E+03	 1.36289E+01
 1.77032E+03	 1.05449E+01
 1.77357E+03	 1.40103E+01
 1.77681E+03	-1.75293E-01
 1.78006E+03	-8.61279E+00
 1.78330E+03	-6.93066E+00
 1.78654E+03	-6.13867E+00
 1.78978E+03	 5.10547E+00
 1.79301E+03	 1.71782E+01
 1.79625E+03	 1.36719E+01
 1.79948E+03	 5.93262E+00
 1.80271E+03	-4.19629E+00
 1.80593E+03	-2.94873E+00
 1.80916E+03	-1.99854E+00
