X-Axis	NPA w/ HMB-1 (CRR) (SG) (Sub BG)
 1.87006E+03	 1.64580E+01
 1.87325E+03	 9.34033E+00
 1.87643E+03	-2.17432E+00
 1.87961E+03	-3.34082E+00
 1.88279E+03	 3.51953E+00
 1.88597E+03	 4.39746E+00
 1.88915E+03	 5.84473E-01
 1.89232E+03	-4.72656E+00
 1.89549E+03	-1.52930E+00
 1.89866E+03	 4.44043E+00
 1.90183E+03	 7.81348E+00
 1.90500E+03	 8.36377E+00
 1.90816E+03	 4.47412E+00
 1.91132E+03	 1.17676E-01
 1.91448E+03	-4.61230E+00
 1.91764E+03	-5.58057E+00
 1.92080E+03	-8.21777E-01
 1.92395E+03	 3.45508E+00
 1.92710E+03	 7.13232E+00
 1.93025E+03	 5.93164E+00
 1.93340E+03	 5.96338E+00
 1.93655E+03	 2.75391E+00
 1.93969E+03	 1.51855E+00
 1.94284E+03	 9.56543E-01
 1.94598E+03	-2.24609E-02
 1.94912E+03	-6.63574E-01
 1.95225E+03	-2.18066E+00
 1.95539E+03	-3.07520E+00
 1.95852E+03	-4.28125E+00
 1.96165E+03	-3.55566E+00
 1.96478E+03	 8.51074E-01
 1.96791E+03	 5.04004E+00
 1.97103E+03	 8.70654E+00
 1.97416E+03	 1.03828E+01
 1.97728E+03	 6.24902E+00
 1.98040E+03	-1.89014E+00
 1.98352E+03	-6.05176E+00
 1.98663E+03	-1.14453E+00
 1.98975E+03	 3.50537E+00
 1.99286E+03	 4.73096E+00
 1.99597E+03	 8.40820E-01
 1.99908E+03	-2.97900E+00
 2.00218E+03	-6.18652E+00
 2.00529E+03	-2.69971E+00
 2.00839E+03	 8.40967E+00
 2.01149E+03	 1.91836E+01
 2.01459E+03	 1.58906E+01
 2.01769E+03	 6.69922E+00
 2.02078E+03	 3.27246E+00
 2.02387E+03	 1.40527E+00
 2.02696E+03	 5.32227E-01
 2.03005E+03	-9.69727E-01
 2.03314E+03	-2.87305E+00
 2.03623E+03	-3.94678E+00
 2.03931E+03	-2.07471E+00
 2.04239E+03	 4.09521E+00
 2.04547E+03	 8.01318E+00
 2.04855E+03	 3.90381E+00
 2.05163E+03	 3.80615E+00
 2.05470E+03	 1.30322E+00
 2.05777E+03	-4.03076E+00
 2.06084E+03	-2.26074E+00
 2.06391E+03	-1.16162E+00
 2.06698E+03	-9.47754E-01
 2.07004E+03	-9.62891E-01
 2.07310E+03	-1.72363E-01
 2.07617E+03	 3.86182E+00
 2.07923E+03	 2.65332E+00
 2.08228E+03	 2.80713E+00
 2.08534E+03	 3.48584E+00
 2.08839E+03	-9.76563E-01
 2.09144E+03	 2.65625E-01
 2.09449E+03	 1.17920E+00
 2.09754E+03	 3.43994E+00
 2.10059E+03	 2.55029E+00
 2.10363E+03	-2.04102E-01
 2.10667E+03	-5.83496E-01
 2.10972E+03	 6.81641E-01
 2.11275E+03	 3.50781E+00
 2.11579E+03	 3.84619E+00
 2.11883E+03	 2.12793E+00
 2.12186E+03	 1.62842E+00
 2.12489E+03	 1.79980E+00
 2.12792E+03	 4.60352E+00
 2.13095E+03	 5.69873E+00
 2.13397E+03	 4.74365E+00
 2.13700E+03	 3.09619E+00
 2.14002E+03	 1.11182E+00
 2.14304E+03	 2.92725E+00
 2.14606E+03	 7.44922E+00
 2.14908E+03	 8.69873E+00
 2.15209E+03	 5.40283E+00
 2.15511E+03	-1.74023E+00
 2.15812E+03	-4.32373E+00
 2.16113E+03	-4.82910E-01
 2.16413E+03	 4.85254E+00
 2.16714E+03	 9.08789E+00
 2.17014E+03	 7.56787E+00
 2.17315E+03	-6.17188E-01
 2.17615E+03	-4.72461E+00
 2.17915E+03	-4.87695E+00
 2.18214E+03	-6.36719E-01
 2.18514E+03	 6.15332E+00
 2.18813E+03	 7.95117E+00
 2.19112E+03	 5.52734E+00
 2.19411E+03	-1.70605E+00
 2.19710E+03	-6.10693E+00
 2.20009E+03	-4.41553E+00
 2.20307E+03	 1.84326E+00
 2.20605E+03	 1.23008E+01
 2.20903E+03	 1.85376E+01
 2.21201E+03	 1.40122E+01
 2.21499E+03	 6.24805E+00
 2.21796E+03	-5.46826E+00
 2.22094E+03	-9.71436E+00
 2.22391E+03	-8.00830E+00
 2.22688E+03	 1.95605E+00
 2.22985E+03	 1.05361E+01
 2.23281E+03	 1.45713E+01
 2.23578E+03	 1.43408E+01
 2.23874E+03	 1.01182E+01
 2.24170E+03	 2.04297E+00
 2.24466E+03	-3.45703E-01
 2.24762E+03	-1.21338E+00
 2.25058E+03	 2.16357E+00
 2.25353E+03	 4.76367E+00
 2.25648E+03	 6.21191E+00
 2.25943E+03	 2.11670E+00
 2.26238E+03	-4.17041E+00
 2.26533E+03	-7.19434E+00
 2.26827E+03	-1.35400E+00
 2.27122E+03	 4.02979E+00
 2.27416E+03	 7.28271E+00
 2.27710E+03	 5.38135E+00
 2.28004E+03	 5.82520E-01
 2.28297E+03	-2.91699E+00
 2.28591E+03	-5.13574E+00
 2.28884E+03	-2.79199E+00
 2.29177E+03	 2.44385E+00
 2.29470E+03	 5.06152E+00
 2.29763E+03	 4.06641E+00
 2.30055E+03	 2.20020E+00
 2.30348E+03	-8.02246E-01
 2.30640E+03	-2.20850E+00
 2.30932E+03	-2.51465E+00
 2.31224E+03	-4.07715E-01
 2.31516E+03	 1.60010E+00
 2.31807E+03	 8.81836E-01
 2.32099E+03	 5.90820E-01
 2.32390E+03	 1.41650E+00
 2.32681E+03	-8.00293E-01
 2.32972E+03	-1.78027E+00
 2.33262E+03	-2.92236E+00
 2.33553E+03	-2.29590E+00
 2.33843E+03	-7.06543E-01
 2.34133E+03	 1.70654E+00
 2.34423E+03	 2.30518E+00
 2.34713E+03	 2.58691E+00
 2.35003E+03	 2.00244E+00
 2.35292E+03	 1.08789E+00
 2.35581E+03	-5.05859E-01
 2.35871E+03	-8.79395E-01
 2.36160E+03	 2.34863E+00
 2.36448E+03	 1.61230E+00
 2.36737E+03	-1.56787E+00
 2.37025E+03	-3.54199E+00
 2.37314E+03	-2.91113E+00
 2.37602E+03	 1.34180E+00
 2.37890E+03	 5.51855E+00
 2.38177E+03	 7.14551E+00
 2.38465E+03	 4.47705E+00
 2.38752E+03	-1.68896E+00
 2.39040E+03	-2.54590E+00
 2.39327E+03	-2.10791E+00
 2.39614E+03	 1.60791E+00
 2.39900E+03	 1.17383E+00
 2.40187E+03	 1.10889E+00
 2.40473E+03	 2.29590E+00
 2.40760E+03	 3.33105E+00
 2.41046E+03	 3.91113E+00
 2.41332E+03	 3.11865E+00
 2.41617E+03	 1.73145E+00
 2.41903E+03	-2.08496E-01
 2.42188E+03	-2.43018E+00
