X-Axis	bare NPA 10x (CRR) (SG) (Sub BG)
 1.28054E+03	 6.66240E+01
 1.28410E+03	 6.77979E+01
 1.28766E+03	 5.61812E+01
 1.29121E+03	 4.26255E+01
 1.29476E+03	 3.14502E+01
 1.29831E+03	 1.00269E+01
 1.30186E+03	-6.04004E+00
 1.30541E+03	-1.35537E+01
 1.30895E+03	-5.75977E+00
 1.31249E+03	 8.99854E+00
 1.31603E+03	 1.36250E+01
 1.31957E+03	 1.79023E+01
 1.32310E+03	 2.35786E+01
 1.32663E+03	 2.32617E+01
 1.33016E+03	 2.35479E+01
 1.33369E+03	 1.90503E+01
 1.33722E+03	 1.60620E+01
 1.34074E+03	 1.74751E+01
 1.34426E+03	 1.56543E+01
 1.34778E+03	 1.78091E+01
 1.35129E+03	 7.12354E+00
 1.35481E+03	 1.07861E+00
 1.35832E+03	 4.27393E+00
 1.36183E+03	 7.59961E+00
 1.36534E+03	 1.46665E+01
 1.36884E+03	 1.73110E+01
 1.37234E+03	 4.07764E+00
 1.37584E+03	-1.57275E+01
 1.37934E+03	-1.89849E+01
 1.38284E+03	-1.53750E+01
 1.38633E+03	 1.34326E+00
 1.38982E+03	 1.82686E+01
 1.39331E+03	 2.74004E+01
 1.39680E+03	 2.54678E+01
 1.40028E+03	 1.96060E+01
 1.40376E+03	 5.21484E+00
 1.40724E+03	 8.56445E-01
 1.41072E+03	-6.02002E+00
 1.41420E+03	-2.55518E+00
 1.41767E+03	-1.02407E+01
 1.42114E+03	-2.68457E+00
 1.42461E+03	 1.21455E+01
 1.42808E+03	 1.81904E+01
 1.43154E+03	 1.13721E+01
 1.43500E+03	 9.44824E+00
 1.43846E+03	 9.14063E-01
 1.44192E+03	-3.73047E+00
 1.44537E+03	-5.01025E+00
 1.44883E+03	 1.36621E+00
 1.45228E+03	-2.81836E+00
 1.45573E+03	-3.72314E+00
 1.45917E+03	-4.39063E+00
 1.46262E+03	-6.83594E+00
 1.46606E+03	-4.22217E+00
 1.46950E+03	-3.60840E-01
 1.47294E+03	-9.85449E+00
 1.47637E+03	-1.39595E+01
 1.47981E+03	 4.10156E-01
 1.48324E+03	 1.28301E+01
 1.48667E+03	 2.09692E+01
 1.49009E+03	 2.37949E+01
 1.49352E+03	 2.08857E+01
 1.49694E+03	 3.45361E+00
 1.50036E+03	-1.17158E+01
 1.50378E+03	-1.20332E+01
 1.50720E+03	-1.06685E+01
 1.51061E+03	-6.63623E+00
 1.51402E+03	 6.89453E-01
 1.51743E+03	 9.41162E+00
 1.52084E+03	 1.01597E+01
 1.52424E+03	 1.00308E+01
 1.52764E+03	 2.09312E+01
 1.53105E+03	 2.09600E+01
 1.53444E+03	 1.68203E+01
 1.53784E+03	 1.56924E+01
 1.54123E+03	 5.97607E+00
 1.54463E+03	 2.74072E+00
 1.54802E+03	 5.70508E+00
 1.55140E+03	 1.85581E+01
 1.55479E+03	 2.23906E+01
 1.55817E+03	 1.60122E+01
 1.56155E+03	 1.85488E+01
 1.56493E+03	 1.76450E+01
 1.56831E+03	 1.58535E+01
 1.57168E+03	 1.77827E+01
 1.57506E+03	 1.30493E+01
 1.57843E+03	 1.30044E+01
 1.58180E+03	 1.76333E+01
 1.58516E+03	 2.07939E+01
 1.58853E+03	 3.09541E+01
 1.59189E+03	 3.15400E+01
 1.59525E+03	 2.55059E+01
