X-Axis	NPA w/ oil 10x (CRR) (SG) (Sub BG)
 2.18514E+03	 9.14111E+00
 2.18813E+03	 9.05518E+00
 2.19112E+03	 4.61084E+00
 2.19411E+03	-7.84180E-01
 2.19710E+03	-2.47656E+00
 2.20009E+03	-1.10205E+00
 2.20307E+03	 3.33936E+00
 2.20605E+03	 5.07227E+00
 2.20903E+03	 4.30469E+00
 2.21201E+03	 1.20801E+00
 2.21499E+03	-1.57324E+00
 2.21796E+03	-6.53467E+00
 2.22094E+03	-4.17432E+00
 2.22391E+03	-1.37695E-01
 2.22688E+03	 5.43799E+00
 2.22985E+03	 1.00220E+01
 2.23281E+03	 7.36963E+00
 2.23578E+03	 7.66064E+00
 2.23874E+03	 6.72705E+00
 2.24170E+03	 2.63037E+00
 2.24466E+03	 4.11670E+00
 2.24762E+03	 9.79004E-01
 2.25058E+03	 1.13281E-01
 2.25353E+03	-7.39746E-01
 2.25648E+03	-2.22266E+00
 2.25943E+03	 6.09375E-01
 2.26238E+03	 2.57324E+00
 2.26533E+03	 2.84180E+00
 2.26827E+03	 3.73779E+00
 2.27122E+03	 1.64844E+00
 2.27416E+03	 2.07715E+00
 2.27710E+03	-3.06299E+00
 2.28004E+03	-2.72803E+00
 2.28297E+03	 2.96973E+00
 2.28591E+03	 2.91260E+00
 2.28884E+03	 1.91992E+00
 2.29177E+03	 3.31494E+00
 2.29470E+03	 2.54395E+00
 2.29763E+03	-1.56250E-01
 2.30055E+03	-8.72559E-01
 2.30348E+03	 2.12891E-01
 2.30640E+03	-3.64844E+00
 2.30932E+03	-3.38184E+00
 2.31224E+03	-2.26563E-01
 2.31516E+03	 2.61621E+00
 2.31807E+03	 4.87305E+00
 2.32099E+03	 5.25342E+00
 2.32390E+03	 3.68164E+00
 2.32681E+03	-1.30957E+00
 2.32972E+03	-4.68213E+00
 2.33262E+03	-4.47266E+00
 2.33553E+03	-3.00586E+00
 2.33843E+03	 5.07813E-01
 2.34133E+03	 1.61523E+00
 2.34423E+03	 5.27832E-01
 2.34713E+03	 1.03760E+00
 2.35003E+03	 8.05176E-01
 2.35292E+03	 3.41406E+00
 2.35581E+03	 3.37451E+00
 2.35871E+03	-7.03125E-02
 2.36160E+03	-2.82129E+00
 2.36448E+03	-5.07910E+00
