X-Axis	NPA w/ HMB-1 20x (CRR) (SG) (Sub BG)
 1.44883E+03	-9.10645E-01
 1.45228E+03	-8.75244E+00
 1.45573E+03	-5.07813E-02
 1.45917E+03	 2.20786E+01
 1.46262E+03	 2.83545E+01
 1.46606E+03	 1.94414E+01
 1.46950E+03	 1.31460E+01
 1.47294E+03	-1.00376E+01
 1.47637E+03	-4.01909E+01
 1.47981E+03	-4.63926E+01
 1.48324E+03	-2.57666E+01
 1.48667E+03	-3.23584E+00
 1.49009E+03	 2.55146E+01
 1.49352E+03	 3.47334E+01
 1.49694E+03	 1.57495E+01
 1.50036E+03	-1.00454E+01
 1.50378E+03	-2.50918E+01
 1.50720E+03	-2.61470E+01
 1.51061E+03	-3.47969E+01
 1.51402E+03	-1.99697E+01
 1.51743E+03	 8.70605E+00
 1.52084E+03	 1.69966E+01
 1.52424E+03	 2.03662E+01
 1.52764E+03	 2.85117E+01
 1.53105E+03	 2.10479E+01
 1.53444E+03	 3.90186E+00
 1.53784E+03	 3.90137E-01
 1.54123E+03	 2.79287E+01
 1.54463E+03	 4.56045E+01
 1.54802E+03	 6.33594E+01
 1.55140E+03	 7.72192E+01
 1.55479E+03	 8.03604E+01
 1.55817E+03	 7.02734E+01
 1.56155E+03	 5.50562E+01
 1.56493E+03	 4.18413E+01
 1.56831E+03	 3.75044E+01
 1.57168E+03	 1.47505E+01
 1.57506E+03	 1.64551E+00
 1.57843E+03	-5.28369E+00
 1.58180E+03	 2.36816E-01
 1.58516E+03	-1.89014E+00
 1.58853E+03	 3.22559E+00
 1.59189E+03	 2.72573E+01
 1.59525E+03	 3.88052E+01
 1.59861E+03	 3.82490E+01
 1.60196E+03	 4.19712E+01
 1.60531E+03	 3.02031E+01
 1.60867E+03	 1.22856E+01
 1.61202E+03	 2.01758E+00
 1.61536E+03	 7.58203E+00
 1.61871E+03	 4.76514E+00
 1.62205E+03	 2.88623E+00
 1.62539E+03	 2.41064E+00
 1.62873E+03	-6.26807E+00
 1.63207E+03	-1.38154E+01
 1.63540E+03	-2.90625E+00
 1.63873E+03	 9.75146E+00
 1.64206E+03	 2.55420E+00
 1.64539E+03	-8.81494E+00
 1.64872E+03	-9.18604E+00
 1.65204E+03	-3.84668E+00
 1.65536E+03	 7.94629E+00
 1.65868E+03	 9.94775E+00
 1.66200E+03	 9.10889E+00
 1.66532E+03	-5.58936E+00
 1.66863E+03	-1.77759E+01
 1.67194E+03	-4.87646E+00
 1.67525E+03	 7.85449E+00
 1.67856E+03	 1.19746E+01
 1.68186E+03	 9.07471E+00
 1.68516E+03	-3.64258E-01
 1.68847E+03	-8.26465E+00
 1.69176E+03	-1.01509E+01
 1.69506E+03	 4.57129E+00
 1.69836E+03	 2.12373E+01
 1.70165E+03	 2.03979E+01
 1.70494E+03	 6.74756E+00
 1.70823E+03	-9.44238E+00
 1.71151E+03	-1.78359E+01
 1.71480E+03	-1.28701E+01
 1.71808E+03	 2.14648E+00
 1.72136E+03	 1.42920E+01
 1.72464E+03	 1.17896E+01
 1.72792E+03	 3.49268E+00
 1.73119E+03	-3.41748E+00
 1.73446E+03	-1.92773E+00
 1.73773E+03	-1.18457E+00
 1.74100E+03	 9.07715E-01
 1.74427E+03	 3.41309E-01
 1.74753E+03	-4.91943E+00
 1.75079E+03	-4.80127E+00
 1.75405E+03	-7.83203E-01
 1.75731E+03	 7.05762E+00
