X-Axis	dried HMB-1 (CRR) (SG) (Sub BG)
 1.80593E+03	-4.49268E+00
 1.80916E+03	 5.45459E+00
 1.81238E+03	 1.80767E+01
 1.81560E+03	 2.52144E+01
 1.81882E+03	 1.98525E+01
 1.82204E+03	 1.58691E-01
 1.82526E+03	-1.00137E+01
 1.82847E+03	-1.02124E+01
 1.83168E+03	 1.23779E+00
 1.83489E+03	 4.39941E+00
 1.83810E+03	 1.01045E+01
 1.84130E+03	 1.21040E+01
 1.84451E+03	 5.56738E+00
 1.84771E+03	-3.45703E+00
 1.85091E+03	-9.08203E+00
 1.85411E+03	-8.10742E+00
 1.85730E+03	-6.42578E-01
 1.86049E+03	 1.08198E+01
 1.86369E+03	 1.62651E+01
 1.86688E+03	 1.51558E+01
 1.87006E+03	 1.73760E+01
 1.87325E+03	 1.69482E+01
 1.87643E+03	 1.23325E+01
 1.87961E+03	 9.13721E+00
 1.88279E+03	 1.03501E+01
 1.88597E+03	 4.19434E+00
 1.88915E+03	-6.71533E+00
 1.89232E+03	-6.23535E+00
 1.89549E+03	-1.95020E+00
 1.89866E+03	 2.51416E+00
 1.90183E+03	 8.87598E+00
 1.90500E+03	 1.30825E+01
 1.90816E+03	 1.05615E+01
 1.91132E+03	-5.30273E-01
 1.91448E+03	-3.77881E+00
 1.91764E+03	-2.21582E+00
 1.92080E+03	-3.33496E-01
 1.92395E+03	 3.12891E+00
 1.92710E+03	 5.85498E+00
 1.93025E+03	 1.14409E+01
 1.93340E+03	 1.72388E+01
 1.93655E+03	 1.84888E+01
 1.93969E+03	 1.31567E+01
 1.94284E+03	 4.38135E+00
 1.94598E+03	-1.46484E-01
 1.94912E+03	-8.85254E-01
 1.95225E+03	 1.75244E+00
 1.95539E+03	-9.08203E-01
 1.95852E+03	-1.74463E+00
 1.96165E+03	-1.62305E+00
 1.96478E+03	-5.47363E-01
 1.96791E+03	 5.49316E+00
 1.97103E+03	 1.23535E+01
 1.97416E+03	 1.40444E+01
 1.97728E+03	 1.28438E+01
 1.98040E+03	 5.01514E+00
 1.98352E+03	-9.07715E-01
 1.98663E+03	-2.72607E+00
 1.98975E+03	-2.09375E+00
 1.99286E+03	 5.77637E-01
 1.99597E+03	 3.37988E+00
 1.99908E+03	 5.95801E+00
 2.00218E+03	 6.90381E+00
 2.00529E+03	 1.26548E+01
 2.00839E+03	 1.61362E+01
 2.01149E+03	 1.32275E+01
 2.01459E+03	 2.29736E+00
 2.01769E+03	-1.78711E+00
 2.02078E+03	 2.86133E-01
 2.02387E+03	 2.30859E+00
 2.02696E+03	 5.23096E+00
 2.03005E+03	 3.64014E+00
 2.03314E+03	-5.07959E+00
 2.03623E+03	-5.09131E+00
 2.03931E+03	-1.75098E+00
 2.04239E+03	 2.91553E+00
 2.04547E+03	 3.19092E+00
 2.04855E+03	 3.90088E+00
 2.05163E+03	 6.97266E+00
 2.05470E+03	-7.82715E-01
 2.05777E+03	-4.19385E+00
 2.06084E+03	-2.82373E+00
 2.06391E+03	-2.57910E+00
 2.06698E+03	 1.13281E+00
 2.07004E+03	 6.68262E+00
 2.07310E+03	 7.90576E+00
 2.07617E+03	 2.67188E+00
 2.07923E+03	-2.35742E+00
 2.08228E+03	 1.07080E+00
 2.08534E+03	-5.66406E-02
 2.08839E+03	-1.03662E+00
 2.09144E+03	-2.13330E+00
 2.09449E+03	-6.21777E+00
 2.09754E+03	-5.32422E+00
 2.10059E+03	-3.76318E+00
 2.10363E+03	-4.77539E-01
 2.10667E+03	 4.68652E+00
 2.10972E+03	 8.60840E+00
 2.11275E+03	 1.28398E+01
 2.11579E+03	 1.43281E+01
 2.11883E+03	 1.24219E+01
 2.12186E+03	 1.19429E+01
 2.12489E+03	 1.58516E+01
 2.12792E+03	 2.35088E+01
 2.13095E+03	 3.02275E+01
 2.13397E+03	 2.65410E+01
 2.13700E+03	 2.16626E+01
 2.14002E+03	 2.26289E+01
 2.14304E+03	 2.63062E+01
 2.14606E+03	 3.38340E+01
 2.14908E+03	 3.14136E+01
 2.15209E+03	 1.70288E+01
 2.15511E+03	 4.51123E+00
 2.15812E+03	-2.67480E+00
 2.16113E+03	-4.21875E-01
 2.16413E+03	 3.81299E+00
 2.16714E+03	 3.25342E+00
 2.17014E+03	-1.09912E+00
 2.17315E+03	-4.66211E+00
 2.17615E+03	-3.15088E+00
 2.17915E+03	 2.70703E+00
 2.18214E+03	 3.29590E+00
 2.18514E+03	 3.71387E+00
 2.18813E+03	 6.45361E+00
 2.19112E+03	 6.91113E+00
 2.19411E+03	 6.16748E+00
 2.19710E+03	 2.28223E+00
 2.20009E+03	-1.06689E+00
 2.20307E+03	-2.59277E-01
 2.20605E+03	 3.50098E-01
 2.20903E+03	 2.07617E+00
 2.21201E+03	 1.71777E+00
 2.21499E+03	 2.78320E-01
 2.21796E+03	-2.97705E+00
 2.22094E+03	-4.34082E+00
 2.22391E+03	-4.53613E-01
 2.22688E+03	 4.81055E+00
 2.22985E+03	 5.47461E+00
 2.23281E+03	 3.58350E+00
 2.23578E+03	 6.39160E-01
 2.23874E+03	-2.90283E+00
 2.24170E+03	-2.59375E+00
 2.24466E+03	 1.29297E+00
 2.24762E+03	 6.30859E+00
 2.25058E+03	 5.15723E+00
 2.25353E+03	 2.45947E+00
 2.25648E+03	 1.43555E-01
 2.25943E+03	-1.89160E+00
 2.26238E+03	-2.06738E+00
 2.26533E+03	-1.80615E+00
 2.26827E+03	-1.82324E+00
 2.27122E+03	 3.09863E+00
 2.27416E+03	 5.69531E+00
 2.27710E+03	 4.93408E+00
 2.28004E+03	 8.28613E-01
 2.28297E+03	-6.61621E-01
 2.28591E+03	-2.43506E+00
 2.28884E+03	-2.01270E+00
 2.29177E+03	 1.29639E+00
 2.29470E+03	 6.21387E+00
 2.29763E+03	 9.41992E+00
 2.30055E+03	 1.05835E+01
 2.30348E+03	 6.46826E+00
 2.30640E+03	-1.05859E+00
 2.30932E+03	-5.36279E+00
 2.31224E+03	-3.64258E+00
 2.31516E+03	 4.88281E-04
 2.31807E+03	 4.39551E+00
 2.32099E+03	 4.53174E+00
 2.32390E+03	 1.93848E+00
 2.32681E+03	-1.51660E+00
 2.32972E+03	-2.19531E+00
 2.33262E+03	-1.14648E+00
 2.33553E+03	 4.49219E-02
 2.33843E+03	 6.19141E-01
 2.34133E+03	 2.31250E+00
 2.34423E+03	 2.96240E+00
 2.34713E+03	 1.88965E+00
 2.35003E+03	 1.09082E+00
 2.35292E+03	 3.14893E+00
 2.35581E+03	 2.43994E+00
 2.35871E+03	 1.46240E-01
 2.36160E+03	-1.44116E+00
 2.36448E+03	-1.38306E+00
 2.36737E+03	-1.20947E+00
 2.37025E+03	 2.19971E-01
 2.37314E+03	 2.16162E+00
 2.37602E+03	 8.05176E-01
 2.37890E+03	-1.81885E+00
 2.38177E+03	-6.28418E-01
 2.38465E+03	 1.30444E+00
 2.38752E+03	 1.71997E+00
 2.39040E+03	 3.19629E+00
 2.39327E+03	 1.94312E+00
 2.39614E+03	-2.12402E-01
 2.39900E+03	-5.33936E-01
 2.40187E+03	-3.65234E-01
 2.40473E+03	-4.44092E-01
 2.40760E+03	 3.04541E+00
 2.41046E+03	 3.01245E+00
 2.41332E+03	 2.30664E+00
 2.41617E+03	-1.19360E+00
 2.41903E+03	-1.81128E+00
 2.42188E+03	-1.84961E+00
 2.42473E+03	-2.33398E-01
