X-Axis	NPA w/ HMB-1 pos2 (CRR) (SG) (Sub BG)
 2.31224E+03	 1.93994E+00
 2.31516E+03	 2.27734E+00
 2.31807E+03	 2.28516E+00
 2.32099E+03	 3.72168E+00
 2.32390E+03	 5.13721E+00
 2.32681E+03	 5.61816E+00
 2.32972E+03	 5.30762E-01
 2.33262E+03	-3.14697E+00
 2.33553E+03	-4.31787E+00
 2.33843E+03	-1.67725E+00
 2.34133E+03	 6.95801E-01
 2.34423E+03	-2.63184E-01
 2.34713E+03	-1.13037E+00
 2.35003E+03	-1.43652E+00
 2.35292E+03	 2.30566E+00
 2.35581E+03	 4.71289E+00
 2.35871E+03	 5.14307E+00
 2.36160E+03	 2.54102E+00
 2.36448E+03	-2.08252E+00
 2.36737E+03	-4.92090E+00
 2.37025E+03	-5.13330E+00
 2.37314E+03	-2.18701E+00
 2.37602E+03	 3.64111E+00
 2.37890E+03	 5.18115E+00
 2.38177E+03	 7.06055E+00
 2.38465E+03	 4.96924E+00
 2.38752E+03	 8.77441E-01
 2.39040E+03	-1.33545E+00
 2.39327E+03	-2.72070E+00
 2.39614E+03	-4.27246E-01
 2.39900E+03	-6.34277E-01
 2.40187E+03	 2.56348E-01
 2.40473E+03	 4.19775E+00
 2.40760E+03	 4.35986E+00
 2.41046E+03	 3.67871E+00
 2.41332E+03	 1.71826E+00
 2.41617E+03	-1.97852E+00
